sum: 617090
are too 27
as Mr 27
Harriet Smith 27
very fond 27
eyes were 27
as usual 27
on being 27
however she 27
to answer 27
the acquaintance 27
intended to 27
me if 27
Mrs Weston's 27
to bear 27
her way 27
the possibility 27
or even 27
for many 27
had said 27
good sense 27
good humoured 27
whole party 27
is really 27
a hint 27
she may 27
a hurry 27
though her 27
his eyes 27
she walked 27
you of 27
a part 27
No indeed 27
of Edward 27
out for 27
agreed to 27
and sisters 27
not that 27
But my 27
ought not 27
have got 27
none of 27
Mrs Morland 27
being able 27
to remain 27
made up 27
had brought 27
are in 27
be nothing 27
he never 27
in England 27
never heard 27
his attentions 27
which no 27
in seeing 27
talked to 27
a house 27
of Colonel 27
Mrs Elton's 27
than in 27
he I 27
Robert Martin 27
you at 27
the entrance 27
up a 27
was beginning 27
myself to 27
first to 27
who are 27
have I 27
good nature 27
so great 27
be only 27
be most 27
go away 27
wishing to 27
As to 27
and say 27
Are you 27
she continued 27
return of 27
dared not 27
Miss Steele 27
it without 27
beauty and 27
Elinor could 27
say she 27
make them 27
not for 27
for they 27
is just 27
the marriage 27
share in 27
to Jane 27
cried Emma 27
Mrs Cole 27
gratitude and 27
that such 27
But he 27
take place 27
us all 27
Mr Gardiner 27
his family 27
applied to 27
the conversation 27
or four 27
done for 27
her cousins 26
Emma and 26
but we 26
have to 26
my uncle 26
whenever she 26
say so 26
sister was 26
middle of 26
to express 26
engaged in 26
or his 26
it out 26
could think 26
company and 26
me at 26
was there 26
Mrs Thorpe 26
who can 26
at Mrs 26
by that 26
on every 26
difficulty in 26
many a 26
Bingley and 26
in them 26
and some 26
a single 26
Edward and 26
spoken of 26
make no 26
his voice 26
they may 26
regard to 26
thing of 26
sister to 26
to and 26
close to 26
Mr Ferrars 26
her he 26
Mr Bertram 26
own room 26
an air 26
a thousand 26
not appear 26
I heard 26
attended to 26
he found 26
love to 26
How can 26
resolution of 26
conversation with 26
replied Elinor 26
way I 26
the visit 26
that very 26
had often 26
her It 26
was for 26
Jane was 26
not seem 26
she been 26
He would 26
his house 26
away to 26
one morning 26
room to 26
I beg 26
just the 26
character and 26
table and 26
till they 26
the breakfast 26
worse than 26
the woman 26
he ought 26
we will 26
her affection 26
for as 26
be called 26
he seemed 26
make me 26
aunt and 26
done and 26
hope it 26
her cousin 26
the prospect 26
find it 26
his affection 26
Miss Bertrams 26
but now 26
to begin 26
the morrow 26
consider it 26
is but 26
give the 26
increase of 26
Edmund and 26
the child 26
very likely 26
have found 26
Elizabeth had 26
part with 26
Crawford had 26
but of 26
to observe 26
since her 26
the Crown 26
be better 26
the road 26
but was 26
he and 26
thought her 26
happy in 26
the influence 26
be some 26
use to 26
good natured 26
good and 26
seen her 26
consideration of 26
Marianne and 26
shall I 26
day I 26
at your 26
world to 26
woman who 25
anything to 25
opinion and 25
And how 25
Fairfax and 25
been there 25
of two 25
was afraid 25
which were 25
most happy 25
nature of 25
to some 25
not of 25
told him 25
give them 25
spent in 25
and till 25
friend to 25
about a 25
hour and 25
very fine 25
was certainly 25
how little 25
up his 25
manners and 25
but without 25
Mrs Goddard 25
the evil 25
of doors 25
his feelings 25
Colonel Forster 25
They will 25
Norris was 25
You would 25
was convinced 25
is something 25
he left 25
to Elizabeth 25
his way 25
of Harriet 25
could you 25
directly and 25
day was 25
put it 25
that must 25
you really 25
the housekeeper 25
Mr Darcy's 25
we could 25
there must 25
the pain 25
Bennet was 25
as one 25
dine with 25
about and 25
at one 25
by saying 25
of great 25
with their 25
Catherine had 25
what would 25
of feeling 25
had very 25
could see 25
was never 25
very sure 25
while they 25
to Lady 25
by an 25
thought you 25
had yet 25
and has 25
addition to 25
of Mansfield 25
curiosity to 25
than it 25
his opinion 25
Oh dear 25
or that 25
because it 25
agree with 25
is more 25
be sorry 25
could give 25
going away 25
ever been 25
going on 25
could say 25
father was 25
take it 25
no idea 25
son and 25
endeavoured to 25
been for 25
a mere 25
she really 25
and will 25
whether it 25
not let 25
that Jane 25
cried Marianne 25
short time 25
one to 25
her friends 25
thing was 25
understand the 25
the change 25
a delightful 25
by every 25
were a 25
a piece 25
it only 25
having a 25
the habit 25
Miss Thorpe 25
been here 25
Mr Woodhouse's 25
you shall 25
Mr Rushworth's 25
a charming 25
assurance of 25
given to 25
she have 25
his head 25
not long 25
three or 25
early in 25
has no 25
and still 25
her children 25
promised to 25
the plan 25
a compliment 25
dread of 25
My father 25
thought I 25
spirits were 25
I consider 24
Thomas was 24
The two 24
belong to 24
her happiness 24
not an 24
Mrs Collins 24
a kind 24
away with 24
What do 24
him very 24
of Jane 24
as my 24
one side 24
day for 24
difference of 24
herself but 24
health and 24
the company 24
continued to 24
letter to 24
not tell 24
be seen 24
thought he 24
an early 24
result of 24
not by 24
incapable of 24
across the 24
much I 24
in having 24
tell her 24
their father 24
cannot think 24
She knew 24
expect to 24
you never 24
be glad 24
them that 24
room in 24
no I 24
have all 24
Mr Weston's 24
her manner 24
for Marianne 24
endeavouring to 24
and sometimes 24
supposed to 24
think her 24
longed to 24
sir I 24
of very 24
the pianoforte 24
at hand 24
no farther 24
those of 24
off to 24
the cause 24
my dearest 24
the parlour 24
In this 24
mistress of 24
Colonel Fitzwilliam 24
family of 24
were gone 24
it up 24
the real 24
of Sir 24
He will 24
the Campbells 24
inclination for 24
beyond a 24
a happy 24
the side 24
Colonel Brandon's 24
a sensible 24
they walked 24
suppose you 24
which Mr 24
into it 24
eyes and 24
called on 24
why should 24
to engage 24
should think 24
on Mr 24
turning to 24
for not 24
feel the 24
knew that 24
Well said 24
be here 24
not always 24
where I 24
subject was 24
an evil 24
place and 24
from me 24
to assure 24
any more 24
had some 24
spoke to 24
thing for 24
But what 24
kindness and 24
the pump 24
better of 24
the ground 24
the dining 24
be on 24
possession of 24
the village 24
assured her 24
the word 24
subject and 24
for one 24
she entered 24
to learn 24
which in 24
asked her 24
a right 24
your friend 24
of many 24
a sister 24
connected with 24
chief of 24
good as 24
or in 24
a child 24
of anything 24
trouble of 24
to inquire 24
than once 24
a pity 24
would soon 24
taken place 24
Mr Thorpe 24
every respect 24
and two 24
took her 24
Bingley was 24
the engagement 24
could but 24
persuaded that 24
know her 23
of character 23
imagine that 23
low voice 23
the air 23
speaking to 23
and soon 23
had long 23
wife and 23
said no 23
and walked 23
ever and 23
cannot bear 23
say no 23
glad of 23
it came 23
know and 23
the heart 23
that with 23
from your 23
with one 23
As soon 23
seems to 23
all its 23
it Mr 23
there I 23
away the 23
you Fanny 23
said nothing 23
to turn 23
not she 23
this point 23
is he 23
cried Elizabeth 23
Jane had 23
me of 23
them She 23
just now 23
wonder that 23
them but 23
here is 23
a distance 23
answer for 23
the garden 23
one could 23
not suppose 23
I to 23
have such 23
right and 23
must say 23
three days 23
party and 23
would certainly 23
Dashwood was 23
the state 23
you But 23
Let us 23
been always 23
With a 23
to form 23
Oh my 23
by your 23
here and 23
no objection 23
expression of 23
be any 23
her it 23
by what 23
was given 23
satisfaction of 23
kind to 23
are going 23
was again 23
your mother 23
she never 23
how he 23
saw it 23
is of 23
was equally 23
him The 23
tone of 23
of manner 23
Very true 23
day to 23
any rate 23
his friends 23
kindness of 23
be I 23
and Julia 23
offer of 23
was sorry 23
they can 23
done it 23
pump room 23
When I 23
Indeed I 23
which seemed 23
Is not 23
dance with 23
certain that 23
manner and 23
what can 23
But now 23
And yet 23
difference in 23
not get 23
pretend to 23
He must 23
Elton and 23
well be 23
account for 23
been her 23
give it 23
the interest 23
her companion 23
one or 23
and Sir 23
midst of 23
that kind 23
arrival of 23
his name 23
anything else 23
I confess 23
The next 23
with much 23
and found 23
and seemed 23
the beginning 23
am to 23
but on 23
had I 23
something else 23
a clergyman 23
near the 23
be given 23
was and 23
hear the 23
so kind 23
Elinor and 23
the conviction 23
face and 23
pleased to 23
thing and 23
entrance of 23
the scene 23
very day 23
my friend 23
be told 23
is certainly 23
At last 23
her ladyship 23
joined them 23
waiting for 23
little to 23
few weeks 23
a sweet 23
it you 23
two young 23
make you 23
came into 23
so but 23
against her 23
his having 23
If it 23
Miss Dashwoods 23
shall see 22
persuade her 22
the result 22
my love 22
But in 22
therefore I 22
all was 22
the midst 22
do so 22
he knew 22
will give 22
There were 22
the consciousness 22
You had 22
character of 22
a change 22
the instrument 22
a favourite 22
his power 22
how could 22
delighted to 22
in another 22
we all 22
his horse 22
was left 22
it more 22
recollection of 22
to part 22
of temper 22
It has 22
not merely 22
how many 22
voice of 22
me it 22
together in 22
the church 22
the future 22
you it 22
Elizabeth and 22
to like 22
was settled 22
two days 22
had expected 22
the passage 22
John and 22
at ease 22
Woodhouse I 22
under such 22
take her 22
and do 22
their first 22
more I 22
this she 22
so you 22
thoughts and 22
and felt 22
open to 22
I come 22
this way 22
saw the 22
mind which 22
And when 22
it Her 22
were more 22
all very 22
could I 22
interested in 22
mother in 22
speak with 22
had at 22
in favour 22
now the 22
and did 22
word of 22
purpose to 22
quite so 22
even of 22
manners were 22
and Lydia 22
dear to 22
all these 22
good for 22
believed it 22
it now 22
at Netherfield 22
I came 22
possible that 22
over it 22
and take 22
and look 22
of Highbury 22
certainly have 22
Miss Lucas 22
as your 22
of more 22
on hearing 22
leisure to 22
man I 22
of Marianne 22
was some 22
my head 22
anxious for 22
and thought 22
had told 22
pain of 22
distance from 22
of young 22
reached the 22
two hours 22
good fortune 22
long in 22
Weston had 22
at length 22
the Park 22
loved her 22
too late 22
to satisfy 22
that Emma 22
was silent 22
you with 22
I trust 22
good will 22
Captain Tilney 22
in silence 22
will tell 22
indeed it 22
But as 22
remembrance of 22
sent for 22
a pleasure 22
the living 22
the misery 22
a party 22
in great 22
her home 22
with every 22
person who 22
to mention 22
voice and 22
all but 22
heard the 22
her niece 22
she turned 22
evening and 22
intention of 22
it into 22
be impossible 22
she can 22
half hour 22
Street and 22
were still 22
her judgment 22
was done 22
great many 22
all for 22
thousand a 22
not likely 22
person and 22
be much 22
than they 22
be pleased 22
quite out 22
resolved on 22
be but 22
her there 22
before him 22
the abbey 22
was something 22
a tete 21
delicacy of 21
than what 21
be afraid 21
the arrival 21
inclination to 21
yet I 21
But there 21
the number 21
the compliment 21
heart to 21
they entered 21
that were 21
home to 21
before them 21
time the 21
own feelings 21
their journey 21
both of 21
a proper 21
and me 21
so near 21
hours of 21
moment and 21
prevailed on 21
I fancy 21
it And 21
long to 21
Colonel Campbell 21
hopes and 21
her aunt's 21
gentleman and 21
us and 21
done with 21
very handsome 21
to allow 21
come back 21
herself the 21
shall always 21
never could 21
very long 21
after their 21
in itself 21
misery of 21
however that 21
to dinner 21
long before 21
by my 21
her Her 21
it on 21
a couple 21
means to 21
spirit of 21
You cannot 21
her countenance 21
consent to 21
even in 21
she made 21
At length 21
evening of 21
suspicion of 21
must make 21
you what 21
much and 21
own mind 21
in Highbury 21
for in 21
woman in 21
there can 21
not find 21
she replied 21
ease and 21
is exactly 21
know nothing 21
to our 21
cried Mr 21
should ever 21
Henry and 21
quitted the 21
was therefore 21
not imagine 21
by herself 21
her acquaintance 21
time with 21
off with 21
word I 21
time she 21
little while 21
yourself and 21
her former 21
acquaintance and 21
her character 21
as such 21
Mr Dixon 21
such things 21
an acquaintance 21
Mrs Bates 21
Bertram was 21
situation in 21
as herself 21
not care 21
supposed that 21
beginning of 21
since I 21
too and 21
her if 21
word and 21
can tell 21
not understand 21
sisters and 21
must do 21
an interest 21
between us 21
to enter 21
up for 21
her voice 21
a partner 21
others and 21
can I 21
of there 21
one is 21
at times 21
home I 21
William and 21
in company 21
he began 21
be thought 21
to doubt 21
how I 21
tell him 21
We were 21
many of 21
any longer 21
what might 21
did I 21
happiness in 21
his uncle 21
feelings were 21
much longer 21
know him 21
these words 21
deal to 21
whether he 21
a note 21
the offer 21
looked as 21
own family 21
time but 21
however he 21
was determined 21
the manner 21
reason for 21
wanting to 21
were going 21
off for 21
a question 21
to enjoy 21
to Harriet 21
and whose 21
they do 21
father had 21
in Hertfordshire 21
occasion for 21
of knowing 21
on what 21
directly to 21
not ask 21
on you 21
he not 21
this letter 21
get the 21
at Rosings 21
at him 21
to Barton 21
among them 21
William was 21
temper and 21
near her 21
deal more 21
compliment to 21
was immediately 21
mention of 21
probability of 21
get a 21
the knowledge 21
but had 21
He came 21
away by 21
after his 21
thing else 21
letter and 21
a secret 21
her before 21
disposition and 21
down again 21
of self 21
struck with 21
pretty well 21
before it 21
passed between 21
of use 21
They have 21
how you 21
possible and 21
find that 21
were soon 21
in view 21
because you 21
according to 21
just what 21
the natural 21
occasion to 21
immediately and 20
of fortune 20
of heart 20
am much 20
had begun 20
it said 20
picture of 20
their way 20
of men 20
very far 20
care for 20
leave the 20
of speaking 20
out with 20
it shall 20
from home 20
for more 20
himself in 20
meet him 20
belonging to 20
was hardly 20
to Highbury 20
Every body 20
Mr Churchill 20
than one 20
a wish 20
Rushworth was 20
beg your 20
within her 20
absence of 20
all probability 20
do her 20
